"station_european_code","component_caption","statistics_year","statistics_average_group","statistic_shortname","statistic_value","station_european_code","country_iso_code","country_name","station_city","longitude","latitude","altitude"
"AL0201A","O3",2012,"day","P50",44.487,"AL0201A","AL","Albania","TIRANA",19.821772,41.330269,162
"AL0202A","O3",2012,"day","P50",65.404,"AL0202A","AL","Albania","TIRANA",19.851667,41.3456,207
"AT30101","O3",2012,"day","P50",42,"AT30101","AT","Austria","AMSTETTEN",14.879178,48.120277,270
"AT31102","O3",2012,"day","P50",68.504,"AT31102","AT","Austria","ANNABERG",15.321947,47.855278,891
"AT60190","O3",2012,"day","P50",75.019,"AT60190","AT","Austria","",15.367789,46.651947,785
"AT2M121","O3",2012,"day","P50",45.338,"AT2M121","AT","Austria","ARNOLDSTEIN",13.705003,46.558887,574
"AT4S125","O3",2012,"day","P50",49.648,"AT4S125","AT","Austria","BAD ISCHL",13.632792,47.716667,460
"AT30201","O3",2012,"day","P50",61.139,"AT30201","AT","Austria","BAD VÖSLAU",16.206951,47.959999,286
"AT82708","O3",2012,"day","P50",46.213,"AT82708","AT","Austria","BLUDENZ",9.82723,47.156113,580
"AT60151","O3",2012,"day","P50",62.645,"AT60151","AT","Austria","",15.495011,46.873055,449
"AT4S156","O3",2012,"day","P50",39.794,"AT4S156","AT","Austria","BRAUNAU",13.040006,48.258335,350
"AT60195","O3",2012,"day","P50",45.767,"AT60195","AT","Austria","DEUTSCHLANDSBERG",15.212789,46.813889,368
"AT31701","O3",2012,"day","P50",57.043,"AT31701","AT","Austria","",15.546679,48.371109,305
"AT10001","O3",2012,"day","P50",55.729,"AT10001","AT","Austria","EISENSTADT",16.526674,47.84,160
"AT0ENK1","O3",2012,"day","P50",59.758,"AT0ENK1","AT","Austria","",13.671114,48.39167,525
"AT30202","O3",2012,"day","P50",68.946,"AT30202","AT","Austria","",15.919448,48.10611,581
"AT60198","O3",2012,"day","P50",48.06,"AT60198","AT","Austria","FÜRSTENFELD",16.078901,47.046944,276
"AT2VL52","O3",2012,"day","P50",88.156,"AT2VL52","AT","Austria","",13.901963,46.683891,1895
"AT60036","O3",2012,"day","P50",60.143,"AT60036","AT","Austria","GRAZ",15.49361,47.06694,481
"AT60138","O3",2012,"day","P50",44.22,"AT60138","AT","Austria","GRAZ",15.41418,47.095554,348
"AT60018","O3",2012,"day","P50",51.429,"AT60018","AT","Austria","GRAZ",15.438614,47.077221,450
"AT60170","O3",2012,"day","P50",37.362,"AT60170","AT","Austria","GRAZ",15.434175,47.041943,345
"AT60196","O3",2012,"day","P50",83.136,"AT60196","AT","Austria","",14.330011,47.040276,1648
"AT60157","O3",2012,"day","P50",67.361,"AT60157","AT","Austria","",13.796679,47.616665,980
"AT4S108","O3",2012,"day","P50",70.941,"AT4S108","AT","Austria","",14.574728,48.531113,918
"AT30401","O3",2012,"day","P50",56.28,"AT30401","AT","Austria","GÄNSERNDORF",16.73057,48.334721,161
"AT30301","O3",2012,"day","P50",60.367,"AT30301","AT","Austria","HAINBURG",16.961123,48.14389,165
"AT52100","O3",2012,"day","P50",62.727,"AT52100","AT","Austria","HALLEIN",13.10584,47.666946,650
"AT60179","O3",2012,"day","P50",45.288,"AT60179","AT","Austria","HARTBERG",15.971944,47.282776,349
"AT53055","O3",2012,"day","P50",67.819,"AT53055","AT","Austria","",13.015847,47.972778,730
"AT30502","O3",2012,"day","P50",59.655,"AT30502","AT","Austria","",15.046679,48.878609,560
"AT72710","O3",2012,"day","P50",48.358,"AT72710","AT","Austria","HEITERWANG",10.744175,47.447781,993
"AT30603","O3",2012,"day","P50",55.854,"AT30603","AT","Austria","HIMBERG",16.433332,48.086109,172
"AT60137","O3",2012,"day","P50",75.337,"AT60137","AT","Austria","",15.016666,47.059166,900
"AT60189","O3",2012,"day","P50",79.426,"AT60189","AT","Austria","",13.633333,47.358334,1850
"AT72705","O3",2012,"day","P50",57.003,"AT72705","AT","Austria","HÖFEN",10.682237,47.470001,880
"AT0ILL1","O3",2012,"day","P50",61.953,"AT0ILL1","AT","Austria","",16.766403,47.77,117
"AT72123","O3",2012,"day","P50",86.574,"AT72123","AT","Austria","",11.378067,47.30611,1910
"AT72106","O3",2012,"day","P50",30.612,"AT72106","AT","Austria","INNSBRUCK",11.417789,47.271667,570
"AT72113","O3",2012,"day","P50",44.987,"AT72113","AT","Austria","INNSBRUCK",11.366667,47.271111,670
"AT30801","O3",2012,"day","P50",65.683,"AT30801","AT","Austria","",15.50028,48.724445,556
"AT60118","O3",2012,"day","P50",45.519,"AT60118","AT","Austria","JUDENBURG",14.677508,47.179447,715
"AT32604","O3",2012,"day","P50",53.148,"AT32604","AT","Austria","KEMATEN",14.77222,48.044998,750
"AT10003","O3",2012,"day","P50",55.193,"AT10003","AT","Austria","BRATISLAVA",17.071392,48.109444,138
"AT2KA41","O3",2012,"day","P50",53.333,"AT2KA41","AT","Austria","KLAGENFURT",14.289173,46.629719,550
"AT2KA71","O3",2012,"day","P50",35.227,"AT2KA71","AT","Austria","KLAGENFURT",14.299167,46.626667,445
"AT2F202","O3",2012,"day","P50",48.735,"AT2F202","AT","Austria","",14.5289,46.841942,810
"AT30601","O3",2012,"day","P50",59.004,"AT30601","AT","Austria","KLOSTERNEUBURG",16.304724,48.301388,200
"AT60185","O3",2012,"day","P50",75.837,"AT60185","AT","Austria","",15.956672,46.752777,300
"AT30103","O3",2012,"day","P50",60.633,"AT30103","AT","Austria","",14.866667,48.179722,465
