station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
AD0944A	944	AD	Andorra	Engolasters	2006-02-10		Background		rural			1.565014	42.516945	1637					no
AD0945A	945	AD	Andorra	Envalira	2011-05-01		Background		rural			1.716986	42.534882	2515					no
AD0942A	942	AD	Andorra	Escaldes-Engordany	2004-06-17		Background		urban			1.539172	42.509724	1080	ANDORRA LA VELLA				no
AL0201A	AL360A01	AL	Albania	Tirana Center	2010-01-06		Traffic	urban	urban		Canyon street: L/H < 1.5	19.821772	41.330269	162	TIRANA				no
AL0202A	AL360A02	AL	Albania	Tirana IPH	2010-06-15		Traffic	suburban	suburban		Wide street: L/H > 1.5	19.851667	41.345600	207	TIRANA				no
AT0ACH1	10ACH1	AT	Austria	Achenkirch - Am Zenzfeld	1993-03-26	2003-09-17	Background	rural	rural	regional		11.700280	47.503056	463					yes
AT30101	030101	AT	Austria	Amstetten	1990-01-01		Background	suburban	suburban		Wide street: L/H > 1.5	14.879178	48.120277	270	AMSTETTEN		30502	Amstetten	no
AT31102	031102	AT	Austria	Annaberg - Joachimsberg	1991-03-01		Background	rural background	rural	remote		15.321947	47.855278	891	ANNABERG		31401	Annaberg	no
AT60190	06190	AT	Austria	Arnfels - Remschnigg	1992-10-28		Background	rural	rural	regional		15.367789	46.651947	785			61024	Oberhaag	no
AT2M121	02M121	AT	Austria	Arnoldstein Gailitz Waldsiedlungsweg	1997-02-07		Industrial	rural	rural		Unknown	13.705003	46.558887	574	ARNOLDSTEIN		20702	Arnoldstein	no
AT2VL62	02VL62	AT	Austria	Arnoldstein Hohenthurn	1983-12-20	2010-07-01	Industrial		rural		Unknown	13.666947	46.558056	670	ARNOLDSTEIN				no
AT20444	02444	AT	Austria	Arnoldstein Kugi	1997-02-07		Industrial		rural		Unknown	13.698625	46.554165	570	ARNOLDSTEIN		20702	Arnoldstein	no
AT2VL22	02VL22	AT	Austria	Arnoldstein Waldsiedlung	1984-05-31	2010-07-01	Industrial		rural		Unknown	13.708900	46.557220	580	ARNOLDSTEIN				no
AT4S405	04S405	AT	Austria	Asten Kirchengasse	1977-02-01	2003-04-10	Traffic		suburban		Wide street: L/H > 1.5	14.416667	48.223335	255	LINZ				no
AT4S125	04S125	AT	Austria	Bad Ischl	1991-04-01		Background	suburban	suburban		Wide street: L/H > 1.5	13.632792	47.716667	460	BAD ISCHL		40703	Bad Ischl	no
