Numero,BANCO,R1Liqui1,R2Liqui2,R3Liqui3,R4Autof,R5RenEc,R6RenFin,R7Apal,R8CosVen,R9Cash,Output
1, B Union,0.2367,0.1725,0.2435,0.0092,0.0022,0.08,0.0023,0.9576,0.003,0
2, B Mas Sarda,0.2911,0.2203,0.2993,0.0101,-0.0223,-0.8109,-0.0229,1.204,-0.0126,0
3, B Levante,0.4752,0.3867,0.496,0.0252,0.0018,0.044,0.0019,0.9525,0.0045,0
4, B Catalana,0.306,0.1949,0.3132,0.0101,0.0021,0.0934,0.0022,0.9258,0.0048,0
5, B Ind Cat,0.2177,0.1722,0.2259,0.0189,0.0021,0.0566,0.0021,0.9249,0.0049,0
6, B Barcelona,0.4411,0.3384,0.4554,0.0112,0.0008,0.0241,0.0008,0.9386,0.0046,0
7, B Gerona,0.2838,0.2449,0.3075,0.0064,0.0008,0.0107,0.0009,0.9283,0.0106,0
8, B Alicante,0.3035,0.2253,0.3151,0.0117,0.0023,0.0622,0.0024,0.8996,0.0065,0
9, B Cred e Inv,0.3262,0.2222,0.3369,0.0112,0.0014,0.043,0.0014,0.9696,0.0023,0
10, B Pirineos,0.4626,0.349,0.5094,0.0567,0.0057,0.0621,0.0063,0.8625,0.0108,0
11, B Madrid,0.5791,0.4942,0.605,0.0162,0,0,0,0.9735,0.0026,0
12, B de Navarra,0.5968,0.4893,0.6498,0.0243,0.0026,0.0318,0.0028,0.6953,0.0032,0
13, B Cantábrico,0.4768,0.2762,0.5021,0.0084,0.0024,0.0479,0.0025,0.9363,0.0039,0
14, B Meridional,0.5583,0.2454,0.5947,0.0203,-0.0135,-0.2207,-0.0144,1.3492,-0.0144,0
15, B Valladolid,0.4311,0.3284,0.4505,0.0043,0.0053,0.1239,0.0056,0.8602,0.007,0
16, B de Cred Comerc,0.4481,0.2346,0.4908,0.0249,0.0004,0.0045,0.0004,0.9947,0.0004,0
17, B de Prést y Ahorro,0.374,0.2205,0.3938,0.0012,-0.0537,-1.0671,-0.0565,1.3713,-0.0231,0
18, B Descuento,0.3237,0.2754,0.3455,0.01,0.0003,0.004,0.0003,0.9144,0.0051,0
19, B Com Occ,0.2836,0.1447,0.3,0.0171,0.0026,0.048,0.0028,0.9428,0.0055,0
20, B Occid,0.3723,0.1972,0.3874,0.0142,0.0029,0.0734,0.003,0.9265,0.0041,0
21, B Ind Med,0.228,0.1454,0.234,0.0054,-0.0026,-0.1008,-0.0026,1.0199,-0.0012,0
22, B Cat Desarr,0.3923,0.2734,0.4083,0.0097,0,0,0,0.9714,0.0021,0
23, B Prom Neg,0.2184,0.1762,0.2287,0.0077,0,0,0,0.8808,0.0078,0
24, B Lopez Q,0.3577,0.2987,0.3753,0.0243,-0.0822,-1.7435,-0.0862,1.2671,-0.0182,0
25, B Asturias,0.4611,0.3837,0.4894,0.0077,0.0058,0.0996,0.0061,0.8799,0.0092,0
26, B Granada,0.298,0.2455,0.3101,0.0121,0.0036,0.091,0.0037,0.9247,0.0037,0
27,B Simeón,0.325,0.2232,0.3389,0.0269,0.0015,0.0367,0.0016,0.9282,0.005,0
28,B de Exp Ind,0.2568,0.1716,0.278,0.0461,0.0024,0.0314,0.0026,0.8996,0.0065,0
29,B Garriga Nogués,0.4179,0.324,0.4323,0.0058,0.004,0.1199,0.0041,0.8955,0.0081,0
30,B de Progreso,0.2389,0.1534,0.2534,0.0299,0.0171,0.2988,0.0182,0.6952,0.0204,1
31,B Ind Bilbao,0.3373,0.2114,0.3531,0.0348,0.0034,0.0761,0.0036,0.7933,0.0183,1
32,B Interc Esp,0.3598,0.3171,0.3792,0.0306,0.0083,0.163,0.0088,0.8651,0.0108,1
33,B Comerc Trans,0.4648,0.3189,0.4825,0.0261,0.0067,0.1823,0.007,0.881,0.0096,1
34,B de Comercio,0.3072,0.255,0.3187,0.0244,0.0018,0.05,0.0019,0.9194,0.0065,1
35,B Jover,0.4559,0.2931,0.4903,0.029,0.0062,0.0878,0.0066,0.8568,0.0123,1
36,B de Vitoria,0.557,0.3852,0.6058,0.0264,0.0121,0.1505,0.0132,0.7711,0.0201,1
37,B Pueyo,0.6228,0.4572,0.6593,0.047,0.0124,0.2237,0.0131,0.7584,0.0237,1
38,B de Créd Balear,0.3447,0.257,0.3573,0.0149,0.0068,0.1926,0.0071,0.851,0.0111,1
39,B Huesca,0.313,0.2345,0.3246,0.0067,0.0041,0.116,0.0043,0.8595,0.01,1
40,B Fomento,0.3747,0.197,0.3956,0.0321,0.007,0.1324,0.0074,0.8604,0.01,1
41,B Pastor,0.3059,0.2081,0.3144,0.0159,0.003,0.111,0.0031,0.906,0.0061,1
42,B de Castilla,0.3358,0.2211,0.3469,0.0283,0.0114,0.3566,0.0117,0.7188,0.021,1
43,B Guipuzcoano,0.4402,0.3385,0.4562,0.0229,0.0043,0.1222,0.0045,0.877,0.0104,1
44,B de Galicia,0.393,0.2019,0.4062,0.0203,0.0085,0.2639,0.0088,0.8613,0.0113,1
45,B Hisp Ind,0.2287,0.0894,0.2396,0.0251,0.0142,0.3146,0.0149,0.7497,0.0153,1
46,B March,0.4385,0.3073,0.4628,0.0498,0.0076,0.1451,0.008,0.8365,0.0119,1
47,B Depositos,0.6312,0.0883,0.7769,0.1986,0.0226,0.1206,0.0278,0.7056,0.0282,1
48,B Herrero,0.4608,0.3455,0.4806,0.0337,0.0129,0.3134,0.0135,0.7957,0.0172,1
49,B Sabadell,0.5042,0.3532,0.5284,0.0345,0.0105,0.2298,0.011,0.7822,0.0202,1
50,B P y M E,0.2899,0.1459,0.332,0.0814,0.0096,0.0754,0.0109,0.7443,0.014,1
51,B Int de Comer,0.2225,0.1556,0.2286,0.013,0.003,0.1119,0.0031,0.8703,0.0071,1
52,B Zaragozano,0.3347,0.2009,0.3423,0.0105,0.0032,0.1457,0.0033,0.89,0.0067,1
53,B Comercial Esp,0.471,0.3707,0.5222,0.0341,0.0084,0.0854,0.0093,0.8279,0.0166,1
54,B Merc Tarragona,0.3965,0.3116,0.415,0.0044,0.0018,0.0402,0.0019,0.9291,0.0047,1
55,B Abel Matutes,0.5485,0.3723,0.5851,0.0354,0.0184,0.295,0.0197,0.7198,0.0307,1
56,B Fin Ind,0.3126,0.2419,0.3251,0.0321,0.0039,0.1008,0.004,0.8405,0.0108,1
57,Sind banqueros B,0.7671,0.4891,0.807,0.0212,0.0051,0.1029,0.0054,0.8971,0.0106,1
58,B de Europa,0.4074,0.2764,0.4397,0.0156,0.0043,0.0582,0.0046,0.8846,0.0095,1
59,B de Vasconia,0.4571,0.2871,0.4731,0.0234,0.0032,0.0945,0.0033,0.8837,0.0095,1
60,B Pop Español,0.4002,0.2691,0.4138,0.0233,0.0074,0.2247,0.0076,0.8292,0.0136,1
61,B Hisp Amer,0.4322,0.2723,0.4453,0.0181,0.0048,0.1633,0.005,0.876,0.0093,1
62,B Esp Cred,0.4298,0.3012,0.443,0.0193,0.0063,0.2111,0.0065,0.8067,0.0144,1
63,B Santander,0.3935,0.2672,0.4103,0.023,0.0082,0.1995,0.0085,0.7977,0.0155,1
64,B Central,0.4497,0.2676,0.4606,0.012,0.0055,0.2359,0.0057,0.8029,0.0141,1
65,B Bilbao,0.3667,0.2366,0.3767,0.0174,0.0051,0.192,0.0052,0.8543,0.0113,1
66,B Vizcaya,0.3845,0.2146,0.395,0.0203,0.005,0.1894,0.0052,0.8396,0.0128,1
